idade_pessoa,renda_pessoa,propriedade_casa_pessoa,tempo_emprego_pessoa,intencao_emprestimo,grau_emprestimo,valor_emprestimo,taxa_juros_emprestimo,status_emprestimo,percentual_renda_emprestimo,inadimplente_pessoa,grau_emprestimo_encoded
22.0,66000.0,Own,6.0,Education,A,5000.0,7.9,0.0,0.08,N,0.0
23.0,28000.0,Rent,5.0,Personal,B,6000.0,9.63,0.0,0.21,N,1.0
35.0,53500.0,Mortgage,1.0,Venture,C,20000.0,12.53,0.0,0.37,Y,2.0
31.0,24000.0,Rent,3.0,Education,A,6000.0,8.49,0.0,0.25,N,0.0
24.0,9600.0,Rent,3.0,Education,C,1300.0,12.73,1.0,0.14,N,2.0
23.0,29000.0,Rent,0.0,Education,E,10000.0,17.93,1.0,0.34,Y,4.0
27.0,36000.0,Rent,2.0,Medical,B,2000.0,11.99,0.0,0.06,N,1.0
25.0,55000.0,Mortgage,10.0,Education,C,15000.0,13.013723205358193,0.0,0.27,Y,2.0
38.0,34296.0,Own,1.0,Medical,C,12000.0,12.990374895852005,0.0,0.35,Y,2.0
21.0,45192.0,Mortgage,0.0,Personal,B,11700.0,10.74,0.0,0.26,N,1.0
23.0,91000.0,Mortgage,0.0,Education,B,1000.0,11.71,0.0,0.01,N,1.0
31.0,135000.0,Mortgage,12.0,Education,C,15000.0,13.85,0.0,0.11,Y,2.0
30.0,232050.0,Mortgage,14.0,Medical,E,25000.0,17.93,1.0,0.09,Y,4.0
23.0,30000.0,Rent,3.0,Personal,A,3600.0,5.99,0.0,0.12,N,0.0
34.0,78000.0,Rent,9.0,Debtconsolidation,E,15000.0,16.4,1.0,0.19,N,4.0
28.0,39000.0,Rent,6.0,Medical,D,8000.0,14.91,1.0,0.21,Y,3.0
31.0,39420.0,Rent,0.0,Medical,C,2500.0,15.27,0.0,0.06,Y,2.0
58.0,68000.0,Mortgage,1.0,Personal,B,8000.0,10.99,0.0,0.12,N,1.0
23.0,40000.0,Rent,0.0,Venture,A,15000.0,8.94,1.0,0.38,N,0.0
25.0,98000.0,Mortgage,9.0,Homeimprovement,E,25000.0,16.45,1.0,0.26,N,4.0
28.0,83000.0,Mortgage,6.0,Debtconsolidation,B,5000.0,10.430752410837766,0.0,0.06,N,1.0
21.0,21700.0,Rent,2.0,Homeimprovement,D,5500.0,14.91,1.0,0.25,N,3.0
34.0,54000.0,Mortgage,5.0,Venture,A,10000.0,7.29,0.0,0.19,N,0.0
29.0,60000.0,Rent,0.0,Homeimprovement,A,4000.0,7.88,0.0,0.07,N,0.0
29.0,60000.0,Mortgage,7.0,Venture,A,5000.0,7.66,0.0,0.08,N,0.0
33.0,153000.0,Mortgage,1.0,Homeimprovement,D,23100.0,14.74,1.0,0.15,Y,3.0
24.0,40000.0,Rent,6.0,Medical,A,5000.0,6.17,0.0,0.13,N,0.0
52.0,25000.0,Rent,23.0,Medical,D,5000.0,12.61,1.0,0.2,Y,3.0
27.0,97000.0,Mortgage,11.0,Personal,B,3600.0,9.25,0.0,0.04,N,1.0
22.0,45000.0,Rent,3.0,Medical,A,5800.0,7.88,0.0,0.13,N,0.0
22.0,63800.0,Mortgage,7.0,Debtconsolidation,B,25000.0,11.36,0.0,0.39,N,1.0
34.0,65000.0,Mortgage,6.0,Debtconsolidation,A,12300.0,7.982423534469684,0.0,0.19,N,0.0
24.0,24000.0,Rent,2.0,Education,D,3500.0,15.65,1.0,0.15,Y,3.0
26.0,96000.0,Rent,2.0,Homeimprovement,A,1750.0,6.54,0.0,0.02,N,0.0
22.0,108000.0,Rent,6.0,Education,B,28000.0,10.609756117051868,1.0,0.26,N,1.0
23.0,60000.0,Own,2.0,Medical,D,18500.0,15.33,0.0,0.31,N,3.0
24.0,88000.0,Rent,0.0,Homeimprovement,B,14000.0,9.99,0.0,0.16,N,1.0
26.0,70000.0,Mortgage,0.0,Education,A,7000.0,7.88,0.0,0.1,N,0.0
32.0,73000.0,Mortgage,7.0,Personal,C,4750.0,13.11,1.0,0.07,Y,2.0
25.0,27600.0,Rent,2.0,Medical,B,7000.0,9.76,0.0,0.25,N,1.0
24.0,75000.0,Rent,6.0,Personal,B,15000.0,11.71,0.0,0.2,N,1.0
26.0,110000.0,Mortgage,0.0,Venture,A,15600.0,6.17,0.0,0.14,N,0.0
34.0,84000.0,Rent,3.0,Education,A,9000.0,5.79,0.0,0.11,N,0.0
23.0,25200.0,Rent,7.0,Education,B,7200.0,11.86,1.0,0.29,N,1.0
26.0,108000.0,Mortgage,4.0,Personal,A,9000.0,5.79,0.0,0.08,N,0.0
28.0,77544.0,Mortgage,2.0,Personal,E,15000.0,16.63,0.0,0.19,Y,4.0
33.0,90000.0,Mortgage,4.0,Debtconsolidation,C,12000.0,12.98,0.0,0.13,N,2.0
28.0,61500.0,Rent,1.0,Homeimprovement,B,4000.0,10.95,0.0,0.07,N,1.0
25.0,112000.0,Rent,7.0,Debtconsolidation,B,5000.0,10.25,0.0,0.04,N,1.0
23.0,48000.0,Rent,3.0,Debtconsolidation,A,8000.0,8.49,0.0,0.17,N,0.0
21.0,24996.0,Rent,2.0,Education,E,5000.0,16.45,1.0,0.2,N,4.0
22.0,50000.0,Rent,6.0,Education,A,15000.0,6.03,0.0,0.3,N,0.0
33.0,15500.0,Rent,1.0,Medical,A,3000.0,7.51,1.0,0.19,N,0.0
29.0,48000.0,Rent,1.0,Medical,A,8800.0,8.49,0.0,0.18,N,0.0
49.0,70872.0,Mortgage,4.0,Debtconsolidation,D,15000.0,14.84,1.0,0.21,N,3.0
25.0,90000.0,Mortgage,7.0,Debtconsolidation,A,6000.0,7.14,0.0,0.07,N,0.0
24.0,60000.0,Rent,8.0,Personal,D,20000.0,13.87,1.0,0.33,N,3.0
22.0,54000.0,Rent,4.0,Debtconsolidation,C,9000.0,15.96,0.0,0.17,Y,2.0
30.0,30000.0,Rent,1.0,Personal,B,14500.0,10.504688724274025,1.0,0.48,N,1.0
25.0,35500.0,Rent,5.0,Medical,B,4000.0,10.99,0.0,0.11,N,1.0
29.0,92250.0,Rent,2.0,Medical,B,13000.0,10.99,0.0,0.14,N,1.0
24.0,65000.0,Mortgage,6.0,Personal,B,11000.0,11.49,0.0,0.17,N,1.0
24.0,75000.0,Mortgage,9.0,Homeimprovement,A,11500.0,5.42,0.0,0.15,N,0.0
22.0,72000.0,Own,1.0,Venture,B,15000.0,10.25,0.0,0.21,N,1.0
24.0,60000.0,Own,9.0,Homeimprovement,B,15000.0,11.83,0.0,0.25,N,1.0
41.0,55000.0,Rent,9.0,Debtconsolidation,B,12000.0,12.53,0.0,0.22,N,1.0
34.0,47818.0,Rent,9.0,Medical,A,6800.0,6.92,0.0,0.14,N,0.0
24.0,70000.0,Mortgage,9.0,Debtconsolidation,B,12000.0,11.36,0.0,0.17,N,1.0
26.0,36996.0,Rent,8.0,Personal,C,9600.0,11.97,0.0,0.26,Y,2.0
25.0,144996.0,Mortgage,2.0,Education,E,25000.0,16.35,0.0,0.17,Y,4.0
36.0,45600.0,Mortgage,6.0,Medical,C,10000.0,13.49,0.0,0.22,N,2.0
35.0,52000.0,Rent,2.0,Medical,B,3000.0,11.48,0.0,0.06,N,1.0
21.0,45000.0,Rent,3.0,Personal,A,7200.0,9.38,0.0,0.16,N,0.0
26.0,85000.0,Mortgage,8.0,Medical,A,15000.0,7.88,0.0,0.18,N,0.0
23.0,66912.0,Mortgage,7.0,Personal,C,16000.0,12.73,0.0,0.24,N,2.0
30.0,60000.0,Rent,4.0,Personal,B,12000.0,10.99,0.0,0.2,N,1.0
36.0,37000.0,Mortgage,5.0,Medical,E,3000.0,18.39,1.0,0.08,Y,4.0
34.0,135000.0,Rent,6.0,Homeimprovement,E,7500.0,17.965638623925663,0.0,0.14,N,4.0
21.0,45000.0,Rent,3.0,Medical,B,9600.0,12.18,0.0,0.21,N,1.0
24.0,28800.0,Mortgage,5.0,Debtconsolidation,C,5500.0,12.939786891921933,0.0,0.19,Y,2.0
24.0,56000.0,Mortgage,2.0,Education,C,5250.0,12.87,0.0,0.09,N,2.0
25.0,60000.0,Mortgage,6.0,Venture,D,8400.0,16.89,0.0,0.14,N,3.0
27.0,85000.0,Mortgage,9.0,Medical,B,24000.0,11.71,0.0,0.28,N,1.0
27.0,55200.0,Own,4.0,Education,B,4000.0,10.42296964100237,0.0,0.07,N,1.0
37.0,117000.0,Mortgage,3.0,Personal,A,10000.0,8.94,0.0,0.09,N,0.0
26.0,300000.0,Mortgage,0.0,Education,D,25000.0,15.33,0.0,0.08,N,3.0
26.0,45000.0,Rent,6.0,Medical,A,3575.0,7.914518867655857,0.0,0.08,N,0.0
25.0,29000.0,Rent,5.0,Venture,A,10000.0,7.49,1.0,0.34,N,0.0
23.0,92000.0,Mortgage,7.0,Personal,B,15000.0,11.26,0.0,0.16,N,1.0
23.0,50004.0,Mortgage,7.0,Personal,A,6000.0,7.933392084506691,0.0,0.12,N,0.0
23.0,87000.0,Mortgage,7.0,Medical,A,17000.0,7.51,0.0,0.2,N,0.0
38.0,55000.0,Rent,0.0,Education,C,6500.0,11.03,0.0,0.12,Y,2.0
35.0,52500.0,Rent,3.0,Homeimprovement,B,12000.0,10.36,0.0,0.23,N,1.0
23.0,74000.0,Own,7.0,Personal,D,15000.0,15.99,0.0,0.2,Y,3.0
38.0,48000.0,Mortgage,23.0,Medical,D,9000.0,15.21,1.0,0.19,Y,3.0
24.0,54500.0,Mortgage,7.0,Medical,D,8000.0,17.49,1.0,0.15,N,3.0
22.0,51000.0,Rent,6.0,Education,A,7500.0,5.99,0.0,0.15,N,0.0
33.0,59000.0,Rent,17.0,Medical,B,9600.0,9.91,0.0,0.16,N,1.0
44.0,200000.0,Mortgage,4.0,Education,B,6000.0,11.86,0.0,0.03,N,1.0
24.0,88000.0,Mortgage,2.0,Personal,A,8000.0,5.99,0.0,0.09,N,0.0
26.0,85000.0,Rent,3.0,Homeimprovement,C,21000.0,13.92,0.0,0.25,N,2.0
23.0,60000.0,Rent,1.0,Education,C,11000.0,14.22,0.0,0.18,N,2.0
22.0,92496.0,Mortgage,2.0,Education,A,10200.0,7.9660797178153535,0.0,0.11,N,0.0
24.0,42000.0,Mortgage,9.0,Personal,A,11000.0,5.42,0.0,0.26,N,0.0
27.0,120000.0,Mortgage,2.0,Venture,B,16000.0,12.21,0.0,0.13,N,1.0
31.0,42000.0,Rent,2.0,Medical,A,7000.0,7.9,0.0,0.17,N,0.0
38.0,22000.0,Rent,2.0,Venture,C,4000.0,12.68,0.0,0.18,Y,2.0
24.0,85000.0,Rent,1.0,Venture,B,16000.0,11.99,0.0,0.19,N,1.0
21.0,19968.0,Rent,4.0,Medical,C,5000.0,12.935895507004235,1.0,0.25,N,2.0
23.0,28000.0,Own,6.0,Venture,B,7000.0,9.99,0.0,0.25,N,1.0
23.0,50000.0,Rent,6.0,Education,C,3000.0,12.920329967333444,0.0,0.06,Y,2.0
31.0,99504.0,Rent,5.0,Debtconsolidation,C,7500.0,13.57,0.0,0.08,N,2.0
31.0,48000.0,Rent,11.0,Medical,B,2000.0,10.65,0.0,0.04,N,1.0
27.0,46000.0,Mortgage,2.0,Personal,C,4000.0,12.53,1.0,0.09,Y,2.0
24.0,90000.0,Rent,8.0,Homeimprovement,B,10000.0,10.469666260014744,0.0,0.11,N,1.0
24.0,91800.0,Mortgage,0.0,Medical,C,16000.0,14.22,1.0,0.15,N,2.0
22.0,60000.0,Rent,0.0,Education,B,15000.0,11.71,0.0,0.25,N,1.0
46.0,80000.0,Mortgage,8.0,Venture,B,5000.0,11.86,0.0,0.06,N,1.0
21.0,45000.0,Mortgage,4.0,Education,A,5000.0,7.14,0.0,0.11,N,0.0
25.0,26000.0,Rent,4.0,Medical,C,8000.0,12.87,1.0,0.31,Y,2.0
31.0,110000.0,Mortgage,4.0,Debtconsolidation,B,6000.0,11.99,0.0,0.05,N,1.0
33.0,38400.0,Rent,6.0,Medical,B,10500.0,11.99,0.0,0.27,N,1.0
23.0,75000.0,Mortgage,2.0,Venture,E,19600.0,15.13,0.0,0.26,N,4.0
23.0,73164.0,Mortgage,7.0,Venture,B,1000.0,10.36,0.0,0.01,N,1.0
26.0,95000.0,Mortgage,1.0,Personal,B,24000.0,10.99,0.0,0.25,N,1.0
23.0,20000.0,Rent,6.0,Personal,C,4000.0,12.23,0.0,0.2,Y,2.0
42.0,38400.0,Rent,4.0,Medical,B,13000.0,10.49301456952093,1.0,0.34,N,1.0
32.0,60000.0,Mortgage,11.0,Personal,C,7500.0,11.03,0.0,0.13,Y,2.0
25.0,28800.0,Rent,5.0,Personal,A,5575.0,6.62,0.0,0.19,N,0.0
29.0,46000.0,Rent,6.0,Venture,B,4000.0,9.99,0.0,0.09,N,1.0
23.0,36100.0,Rent,2.0,Education,A,5000.0,7.49,0.0,0.14,N,0.0
23.0,52000.0,Rent,1.0,Personal,C,25000.0,13.22,1.0,0.48,N,2.0
28.0,62000.0,Rent,4.0,Personal,C,7200.0,12.99,0.0,0.12,Y,2.0
23.0,72000.0,Mortgage,5.0,Personal,D,12000.0,16.29,0.0,0.17,N,3.0
21.0,16800.0,Mortgage,0.0,Venture,B,6000.0,10.39,1.0,0.36,N,1.0
25.0,40000.0,Mortgage,9.0,Medical,C,3500.0,13.49,0.0,0.09,Y,2.0
23.0,38000.0,Mortgage,5.0,Personal,A,5400.0,7.9,0.0,0.14,N,0.0
23.0,35000.0,Rent,0.0,Debtconsolidation,C,5200.0,13.92,0.0,0.15,N,2.0
30.0,40000.0,Rent,4.0,Venture,C,4500.0,14.26,0.0,0.11,Y,2.0
23.0,120000.0,Rent,3.0,Venture,A,3725.0,8.49,0.0,0.03,N,0.0
22.0,42000.0,Rent,0.0,Venture,C,3600.0,14.72,0.0,0.09,Y,2.0
32.0,101000.0,Mortgage,12.0,Debtconsolidation,B,8000.0,11.49,0.0,0.08,N,1.0
21.0,28000.0,Rent,3.0,Education,B,8000.0,10.99,1.0,0.29,N,1.0
26.0,48000.0,Mortgage,10.0,Venture,C,13800.0,13.49,0.0,0.29,Y,2.0
27.0,78000.0,Mortgage,1.0,Venture,A,5125.0,8.59,0.0,0.07,N,0.0
31.0,18000.0,Rent,6.0,Education,C,4000.0,12.84,1.0,0.22,N,2.0
32.0,84456.0,Rent,5.0,Debtconsolidation,B,10000.0,9.88,0.0,0.12,N,1.0
35.0,48000.0,Own,6.0,Homeimprovement,C,4200.0,13.61,0.0,0.09,N,2.0
22.0,31000.0,Rent,7.0,Medical,D,9250.0,14.11,1.0,0.3,N,3.0
22.0,69996.0,Mortgage,6.0,Venture,B,10000.0,10.0,0.0,0.14,N,1.0
29.0,76000.0,Rent,2.0,Medical,B,7200.0,10.447874504475635,0.0,0.09,N,1.0
22.0,57000.0,Mortgage,1.0,Venture,A,3200.0,5.99,0.0,0.06,N,0.0
22.0,66000.0,Mortgage,6.0,Education,C,15000.0,11.72,0.0,0.23,Y,2.0
22.0,36000.0,Mortgage,6.0,Debtconsolidation,A,5975.0,7.42,0.0,0.17,N,0.0
30.0,140000.0,Mortgage,2.0,Homeimprovement,E,15000.0,16.35,0.0,0.11,N,4.0
33.0,56400.0,Mortgage,3.0,Education,B,8500.0,12.42,1.0,0.15,N,1.0
23.0,60000.0,Rent,0.0,Education,C,11200.0,10.78,0.0,0.19,N,2.0
22.0,40000.0,Mortgage,3.0,Debtconsolidation,B,7500.0,11.49,0.0,0.19,N,1.0
32.0,235000.0,Rent,1.0,Personal,C,25000.0,12.53,0.0,0.11,Y,2.0
21.0,33000.0,Mortgage,5.0,Homeimprovement,C,2000.0,14.27,1.0,0.06,N,2.0
23.0,70000.0,Rent,8.0,Debtconsolidation,A,6725.0,6.62,0.0,0.1,N,0.0
27.0,39000.0,Rent,0.0,Education,C,8000.0,11.03,0.0,0.21,N,2.0
31.0,40000.0,Own,0.0,Medical,D,15000.0,15.31,0.0,0.38,Y,3.0
28.0,90000.0,Mortgage,12.0,Homeimprovement,C,5000.0,14.79,0.0,0.06,Y,2.0
22.0,42500.0,Rent,0.0,Medical,E,1500.0,17.19,1.0,0.04,Y,4.0
25.0,70000.0,Rent,1.0,Venture,A,5750.0,8.0,0.0,0.08,N,0.0
36.0,145000.0,Rent,0.0,Medical,B,25000.0,10.586407807545681,0.0,0.17,N,1.0
34.0,93100.0,Rent,2.0,Homeimprovement,C,8000.0,12.959243816510423,0.0,0.09,N,2.0
26.0,67000.0,Rent,9.0,Venture,A,8000.0,7.14,0.0,0.12,N,0.0
40.0,52479.0,Rent,17.0,Personal,D,6600.0,14.54,1.0,0.13,N,3.0
31.0,165000.0,Mortgage,3.0,Homeimprovement,C,15000.0,12.61,0.0,0.09,N,2.0
21.0,30000.0,Rent,0.0,Debtconsolidation,C,1500.0,13.92,0.0,0.05,N,2.0
23.0,39292.0,Mortgage,3.0,Medical,A,3250.0,7.911989467459353,1.0,0.08,N,0.0
27.0,65000.0,Rent,5.0,Personal,E,7000.0,16.82,0.0,0.11,N,4.0
43.0,54000.0,Rent,0.0,Homeimprovement,D,9000.0,15.65,1.0,0.17,Y,3.0
36.0,79200.0,Mortgage,19.0,Personal,A,10000.0,6.03,0.0,0.13,N,0.0
24.0,65450.0,Rent,7.0,Debtconsolidation,A,9600.0,8.49,0.0,0.15,N,0.0
22.0,38004.0,Own,0.0,Venture,D,3000.0,12.92,0.0,0.08,Y,3.0
39.0,90000.0,Mortgage,15.0,Venture,A,10500.0,7.66,0.0,0.12,N,0.0
34.0,80000.0,Rent,0.0,Debtconsolidation,A,30000.0,6.62,1.0,0.38,N,0.0
25.0,75600.0,Mortgage,7.0,Medical,C,15000.0,12.68,0.0,0.2,N,2.0
24.0,185000.0,Mortgage,8.0,Personal,A,10000.0,6.92,0.0,0.05,N,0.0
25.0,80000.0,Own,9.0,Venture,C,12800.0,12.996601111720322,0.0,0.16,N,2.0
24.0,48661.0,Mortgage,7.0,Education,D,8000.0,17.58,0.0,0.16,N,3.0
32.0,29000.0,Own,0.0,Personal,A,2000.0,8.49,0.0,0.07,N,0.0
26.0,65000.0,Rent,4.0,Personal,A,8000.0,6.92,0.0,0.12,N,0.0
24.0,86400.0,Mortgage,2.0,Debtconsolidation,A,12200.0,7.29,0.0,0.14,N,0.0
26.0,143375.0,Mortgage,10.0,Medical,A,12000.0,7.66,0.0,0.08,N,0.0
23.0,46000.0,Rent,2.0,Venture,D,6800.0,15.65,1.0,0.15,Y,3.0
24.0,50000.0,Rent,6.0,Personal,A,4000.0,7.66,0.0,0.08,N,0.0
25.0,99996.0,Mortgage,3.0,Venture,A,8000.0,8.0,0.0,0.08,N,0.0
32.0,40277.0,Rent,5.0,Medical,B,15000.0,11.71,1.0,0.37,N,1.0
26.0,21000.0,Own,4.0,Education,C,8000.0,13.79,0.0,0.38,Y,2.0
27.0,50000.0,Rent,5.0,Venture,B,12000.0,10.37,0.0,0.24,N,1.0
21.0,27000.0,Rent,5.0,Medical,D,4000.0,15.58,1.0,0.15,Y,3.0
26.0,48000.0,Rent,2.0,Medical,B,10000.0,12.21,0.0,0.21,N,1.0
31.0,102000.0,Mortgage,5.0,Education,A,4000.0,7.88,0.0,0.04,N,0.0
22.0,21120.0,Mortgage,3.0,Debtconsolidation,D,1625.0,16.89,1.0,0.08,Y,3.0
24.0,70000.0,Mortgage,4.0,Education,B,21000.0,11.99,0.0,0.3,N,1.0
26.0,22800.0,Rent,4.0,Personal,C,5000.0,13.57,0.0,0.22,Y,2.0
32.0,85000.0,Rent,7.0,Debtconsolidation,B,6000.0,11.71,0.0,0.07,N,1.0
22.0,35000.0,Rent,4.0,Venture,C,1000.0,12.904764427662652,0.0,0.03,Y,2.0
30.0,66000.0,Mortgage,15.0,Venture,B,15000.0,11.14,0.0,0.23,N,1.0
32.0,32004.0,Rent,10.0,Debtconsolidation,C,10400.0,15.27,1.0,0.32,N,2.0
31.0,56000.0,Mortgage,4.0,Medical,A,8000.0,8.59,0.0,0.14,N,0.0
23.0,90000.0,Mortgage,7.0,Personal,D,15000.0,15.31,0.0,0.17,Y,3.0
25.0,39000.0,Rent,3.0,Homeimprovement,A,2000.0,7.66,1.0,0.05,N,0.0
26.0,67000.0,Mortgage,10.0,Personal,B,10000.0,12.21,0.0,0.15,N,1.0
36.0,62400.0,Mortgage,13.0,Venture,C,14100.0,12.98,0.0,0.23,Y,2.0
29.0,55000.0,Mortgage,1.0,Venture,A,12625.0,7.9,0.0,0.23,N,0.0
25.0,42000.0,Rent,3.0,Venture,A,18000.0,6.17,1.0,0.43,N,0.0
27.0,113800.0,Mortgage,3.0,Medical,A,7500.0,8.63,0.0,0.07,N,0.0
31.0,24996.0,Rent,0.0,Debtconsolidation,C,5000.0,12.99,1.0,0.2,N,2.0
45.0,80000.0,Rent,10.0,Medical,A,35000.0,8.15909240973317,1.0,0.44,N,0.0
27.0,26000.0,Rent,6.0,Personal,B,6000.0,10.75,0.0,0.23,N,1.0
27.0,72000.0,Mortgage,11.0,Personal,B,5000.0,11.86,1.0,0.07,N,1.0
24.0,110000.0,Mortgage,8.0,Personal,A,27300.0,7.51,0.0,0.25,N,0.0
31.0,82656.0,Other,10.0,Debtconsolidation,C,6000.0,12.09,0.0,0.07,Y,2.0
40.0,81120.0,Mortgage,1.0,Education,B,24000.0,9.25,0.0,0.3,N,1.0
27.0,96000.0,Rent,3.0,Homeimprovement,A,10000.0,7.88,0.0,0.1,N,0.0
